Household_ID,Vulnerability_Category,Household_Size,Dependency_Ratio,Primary_Income_Source,Employment_Status,Monthly_Income,Food_Assistance_Received,Cash_Assistance_Received,Total_Assistance_Value,Monthly_Expenditure,Current_Debt_Level,Debt_Status,Food_Consumption_Score,Food_Security_Status,Head_of_Household_Gender,Head_of_Household_Age,Female_Headed_Household,Disability_In_Household,Chronic_Illness_In_Household,Elderly_Members_Count,Children_Under_5_Count,Years_In_Camp
3417,3,9,1.13,casual labor,employd,2917,4489,3260,7749,3526,5208,Med,20.59,Insecure,f,36,no,N,N,0,2,8
7044,4,5,2.89,casual labor,SelfEmployed,9421,11061,10373,21434,10858,8281,Lw,78.41,Mod,Male,30,yes,No,no,1,5,19
11773,4,7,1.27,casual labor,SelfEmployed,6300,7024,7518,14542,7396,8591,Low,50.95,Insecure,M,35,no,Yes,N,0,2,1
7243,1,7,1.43,Trading,SelfEmployed,959,1781,1682,3463,2411,452,Low,1.51,Secure,M,20,no,yes,Y,2,1,3
12552,1,10,0.57,Casual Labor,unemp,2564,3336,"4,030",7366,2432,6856,Hgh,21.09,Mod,f,74,N,N,N,0,2,10
3866,1,4,0.29,Agriculture,Unemployed,430,1916,1638,3554,487,7233,Hgh,13.39,Mod,FEMALE,67,N,no,no,1,3,19
505,2,3,0.35,business,SelfEmployed,4125,5895,4620,10515,5077,3134,High,56.31,Secure,male,70,No,yes,no,1,0,0
12866,3,6,2.64,Aid,unemp,4553,6542,5176,11718,5231,520,High,38.98,Mod,FEMALE,38,N,N,Yes,0,2,14
13301,4,6,1.27,business,Self-Employed,7715,8388,9203,17591,8506,8702,Medium,93.19,Mod,Male,65,yes,No,Y,2,1,0
10207,2,8,2.33,business,Self-Employed,1945,3142,2805,5947,2707,740,Med,11.68,Sec,f,20,No,no,Yes,1,2,20
15592,2,10,0.2,casual labor,SelfEmployed,1.9k,3589,3070,6659,3125,953,Medium,5.08,Insecure,M,79,Y,Y,N,1,2,1
4534,3,4,2.63,trading,employd,4280,6017,5304,11321,5995,1252,High,51.85,Mod,M,62,Y,yes,N,1,2,5
2799,3,5,1.88,trading,unemp,5049,5602,6101,11703,4760,2391,Med,49.64,Moderate,male,18,N,Y,No,0,3,8
11326,2,11,0.77,trading,employd,1929,2463,2664,5127,2036,1406,Hgh,13.4,Insecur,FEMALE,51,yes,Y,no,1,3,7
11691,3,4,1.8,casual labor,unemp,6459,7824,"7,430",15254,7089,19472,Hgh,73.94,Insecure,FEMALE,80,N,N,Y,0,2,14
1111,3,5,1.22,Agriculture,Self-Employed,4351,5971,4977,10948,5784,3819,Low,40.24,Insecur,M,39,N,no,No,0,1,14
13578,4,4,1.1,Business,unemp,5939,7765,6638,14403,7872,7697,High,38.34,Moderate,M,53,No,no,no,0,2,10
9221,1,5,2.24,aid,employd,2396,4088,2975,7063,2855,3255,High,13.92,Insecure,f,27,yes,Y,Y,2,1,4
2969,2,5,3,Casual Labor,employd,4112,6067,4938,11005,4976,3414,High,51.78,Moderate,Male,71,N,No,No,0,2,13
7728,1,8,0.72,Business,Unemployed,224,1520,1522,3042,1881,4591,Lw,4.42,Insecur,M,34,Y,N,Yes,0,2,8
7330,2,9,1.02,trading,unemp,2879,3688,3440,7128,4106,6839,Lw,29.14,Mod,male,37,N,Yes,Yes,0,2,18
13345,4,3,2.89,Agriculture,Employed,7904,9803,9388,19191,8272,9202,Medium,77.7,Sec,male,44,N,N,no,0,1,16
7307,1,8,0.68,agriculture,Unemployed,1229,2023,1914,3937,3083,6997,Medium,14.74,Moderate,Femal,61,Yes,Yes,no,0,2,20
4374,3,10,2.19,business,employd,4645,5540,5354,10894,6272,3715,Medium,27.93,Secure,male,61,No,no,No,1,1,16
15740,2,4,1.09,Aid,employd,4642,5621,5394,11015,5178,1443,Medium,38.49,Secure,Femal,28,no,No,No,1,1,1
5682,3,6,2.73,Business,employd,4935,5701,6338,12039,4879,5773,Medium,55.1,Insecur,male,43,N,Y,yes,0,4,12
10845,2,7,0.98,Casual Labor,employd,1789,2839,3159,5998,2625,9587,High,14.1,Insecur,Male,41,yes,No,yes,0,2,0
15517,4,7,0.23,Aid,Self-Employed,9111,9987,10169,20156,10318,8436,High,91.56,Mod,male,39,Yes,No,No,0,1,9
2266,4,7,0.52,aid,Unemployed,9299,9977,9885,19862,9589,8624,Med,92.47,Sec,FEMALE,51,N,N,N,0,1,2
14616,3,4,2.08,Aid,employd,6723,8499,7049,15548,7135,4833,Low,64.31,Secure,M,23,yes,Y,yes,2,1,15
16707,3,5,1.49,agriculture,employd,4369,5064,5335,10399,3877,6409,Low,42.41,Mod,Femal,49,yes,N,No,0,2,20
5510,3,7,2.52,Casual Labor,employd,4299,6273,5149,11422,4647,3257,Low,46.15,Insecur,Male,44,Y,No,No,2,3,6
5483,4,5,1.48,casual labor,unemp,9227,"11,143",9558,20701,9475,6757,High,83.95,Mod,M,64,N,Yes,Yes,0,2,9
11196,1,9,2.25,trading,employd,417,1417,929,2346,1770,9212,Medium,16.99,Insecur,M,29,Yes,yes,N,3,5,1
11962,3,7,2.02,Aid,Self-Employed,4927,5752,5583,11335,5120,17,Med,67.31,Insecure,Femal,40,yes,Y,N,3,3,9
15146,2,4,1.91,business,Self-Employed,2947,"4,684",4181,8865,2705,7513,Lw,29.01,Mod,FEMALE,52,no,N,N,2,0,10
11583,4,6,0.54,agriculture,Unemployed,9294KES,10847,10449,21296,10626,255,Hgh,95.58,Moderate,male,71,no,No,Y,2,4,2
16705,2,4,0.21,Trading,Self-Employed,4065,5944,5550,11494,4102,8288,High,44.08,Sec,Femal,37,yes,No,no,3,3,10
7768,2,4,0.38,Agriculture,Employed,4717,6030,6151,12181,5015,1601,Lw,45.25,Sec,Femal,61,No,No,no,1,1,13
2077,1,4,2.28,business,Unemployed,2487,4390,2852,7242,4379,8425,Hgh,22.68,Insecure,Male,55,N,N,N,0,6,0
159,3,2,0.45,Trading,Employed,4525,5862,5247,11109,5057,5337,Lw,66.81,Insecur,FEMALE,38,Y,Y,Yes,0,5,17
2115,3,7,0.18,Trading,SelfEmployed,3476,4986,4650,9636,4076,3387,Med,24.85,Moderate,Male,33,no,Y,No,2,0,15
8472,3,4,1.24,Casual Labor,unemp,5398,6923,5856,12779,4913,7084,High,50.41,Secure,Femal,76,N,Yes,N,3,2,14
15422,1,7,1.26,Trading,employd,1415,3092,2676,5768,2005,2611,Low,22.38,Insecure,f,68,no,Y,Y,1,4,19
12392,2,6,1.21,casual labor,employd,1786,3710,3077,6787,3218,7847,High,24.89,Moderate,f,21,Y,yes,no,2,0,14
2482,1,11,0.97,Casual Labor,Self-Employed,804,2445,2165,4610,838,9825,Med,0,Sec,M,63,No,no,N,0,1,13
13044,3,8,0.81,Trading,unemp,4649,5169,5014,10183,6054,9233,Low,68.17,Insecure,male,65,yes,Yes,No,0,1,13
15666,1,6,1.83,Trading,SelfEmployed,2338,2850,3162,6012,4173,5631,Low,10.48,Moderate,Femal,78,Yes,Y,no,0,2,10
5530,2,6,0.3,aid,Self-Employed,4669,5248,5199,10447,6152,480,Low,59.14,Moderate,male,61,yes,Yes,yes,0,1,9
10028,2,7,0.54,Trading,unemp,2537KES,4204,3738,7942,2202,7580,Lw,26.56,Insecur,Femal,58,Y,Yes,Y,1,1,20
11270,3,4,0.43,casual labor,Employed,3503,4037,4753,8790,3119,8109,High,38.98,Insecur,FEMALE,75,Y,yes,N,1,1,19
16752,3,5,1.2,Casual Labor,unemp,5495,6595,6402,12997,5045,18430,Low,59.77,Sec,FEMALE,30,Y,N,N,0,1,19
504,4,8,1.75,Agriculture,Unemployed,9555,10461,"10,561",21022,10536,3632,Hgh,97.99,Insecure,Femal,50,yes,no,no,2,1,19
15853,2,7,2.25,Casual Labor,SelfEmployed,4918,6660,5379,12039,4898,5047,Medium,61.44,Sec,Femal,27,Yes,yes,N,0,1,2
9703,2,8,0.97,aid,SelfEmployed,3031,3665,4372,8037,3595,6122,Low,44.61,Insecure,FEMALE,61,No,Yes,Y,0,3,0
8931,4,3,1.04,agriculture,employd,8347,9959,8864,18823,8652,256,Lw,66.31,Mod,male,47,Yes,Y,No,0,4,16
15812,4,5,2.26,Business,employd,6268,6850,7190,14040,6137,519,Medium,70.91,Mod,M,53,no,Yes,no,2,1,9
5762,1,2,1.69,Casual Labor,employd,1883,3654,3315,6969,1924,6998,Med,10.94,Mod,Femal,37,Y,no,Yes,2,2,13
13323,4,7,0.06,Business,Unemployed,9404,9928,10278,20206,10210,1705,Hgh,97,Insecure,M,74,No,no,yes,0,1,15
13904,4,3,1.84,Aid,SelfEmployed,6625,7563,7391,14954,8010,8325,Med,54.51,Insecur,FEMALE,64,no,yes,no,2,2,8
8262,4,6,2.19,aid,SelfEmployed,6505KES,7844,7742,15586,7289,9688,Low,76.26,Insecure,Femal,26,No,Y,No,0,2,16
15972,3,5,2.74,business,SelfEmployed,7154,7867,7711,15578,9078,9740,Hgh,80.77,Moderate,Male,33,Y,Yes,yes,1,1,1
8709,3,5,0.68,Business,unemp,3447,4804,4264,9068,4720,8502,Lw,8.53,Secure,Male,70,Yes,no,Yes,0,4,10
12826,2,8,2.3,casual labor,employd,1672,2920,2835,5755,1638,862,High,9.53,Mod,male,42,Yes,N,Y,0,1,9
15550,2,6,0.24,aid,SelfEmployed,3622KES,4593,4340,8933,5395,6145,Low,37.81,Insecur,M,60,Yes,Yes,no,0,3,17
3981,4,3,0.29,Casual Labor,unemp,7763KES,9090,8330,17420,7533,5821,Med,81.81,Mod,Male,72,yes,yes,Yes,2,1,11
17281,4,9,1.23,Casual Labor,SelfEmployed,5879,7368,7310,14678,6996,2493,Lw,56.63,Secure,FEMALE,58,No,yes,Yes,0,0,11
2936,4,7,0.78,Trading,Self-Employed,8258,8996,8979,17975,9598,261,Medium,74.6,Mod,male,36,N,no,no,2,3,14
15031,2,5,0.55,Trading,unemp,"1,911",3169,2982,6151,3889,3837,Lw,22.97,Moderate,Femal,45,Yes,no,Y,2,3,12
8613,3,6,0.34,casual labor,Self-Employed,3740,4472,5095,9567,4909,8854,High,38.62,Insecur,Femal,23,yes,Yes,No,0,3,15
1459,3,11,1.52,Aid,Employed,4286,5392,4905,10297,3964,194,High,28.53,Moderate,f,67,yes,Yes,Yes,0,0,4
6209,3,4,2.17,Trading,Self-Employed,5580,7288,6622,13910,6932,9795,High,47.91,Secure,M,50,N,Yes,Y,1,4,0
7115,2,11,0.32,Agriculture,Employed,5137,7079,5770,12849,7120,3906,Hgh,40.22,Secure,Femal,33,yes,yes,no,0,2,18
14714,3,7,2.31,casual labor,SelfEmployed,4642,5680,5945,11625,6636,4969,Low,58.69,Mod,f,70,N,no,Yes,2,1,5
10333,1,8,1.29,agriculture,Self-Employed,613,"2,489",1792,4281,2491,1150,Med,14.58,Insecur,Male,61,yes,Yes,Y,1,2,13
4438,1,10,0.26,Trading,unemp,1141,2443,2583,5026,1299,4821,Low,1.67,Secure,male,34,N,Yes,Y,0,4,6
9511,3,5,2.08,trading,employd,3364,4059,4383,8442,5327,3366,Medium,31.17,Mod,Femal,59,N,N,No,1,1,11
1646,2,5,1.87,Trading,Unemployed,3917,4665,5069,9734,4404,5838,Hgh,5.98,Moderate,Femal,69,No,N,no,2,0,11
16513,4,2,0.06,Casual Labor,Employed,7107,"8,259",8182,16441,6642,2258,Medium,71.87,Insecure,Male,51,yes,no,No,1,5,3
2860,4,5,2.24,Agriculture,SelfEmployed,6100,7022,6459,13481,7586,7669,Lw,44.71,Insecur,Male,28,yes,No,Yes,1,2,14
3308,2,7,1.91,Business,unemp,2969,"4,182",3464,7646,2996,6276,High,43.36,Sec,f,79,Y,Yes,Y,3,0,14
9181,1,6,2.74,trading,employd,344,"1,903",683,2586,305,9624,Medium,13.2,Mod,Male,21,No,No,no,0,2,11
3468,2,3,1.11,aid,employd,4282,6145,4934,11079,5658,7036,Lw,58.69,Moderate,f,73,no,yes,Yes,0,3,17
10009,2,5,0.69,Trading,employd,4703,5393,"5,108",10501,6680,6433,Medium,58.73,Secure,M,54,yes,No,Y,0,0,18
8964,4,4,2.32,Aid,Employed,8594,10361,8983,19344,10540,5590,Med,86.64,Moderate,f,68,N,no,yes,1,1,9
6540,2,6,0.83,Business,Employed,2483,3822,"3,225",7047,4347,2585,Med,23.58,Secure,Male,59,Yes,N,Yes,0,2,9
11781,3,11,2.67,Casual Labor,employd,4236,5414,5700,11114,4526,8265,Hgh,39.19,Mod,Male,45,No,N,Yes,1,2,7
5935,4,6,2.75,aid,Employed,7084,8589,8210,16799,8391,7318,Med,74.08,Insecure,Male,47,yes,Y,no,2,2,0
15534,3,4,1.22,aid,Employed,4514,5434,5570,11004,5468,4547,Lw,44.56,Sec,M,68,no,Yes,yes,2,1,12
7080,1,2,3,Trading,Unemployed,"2,228",3381,3279,6660,2193,2523,Low,32.29,Mod,Male,23,No,no,no,1,2,3
7709,3,8,0.75,casual labor,Employed,4027,5531,5454,10985,4823,1730,Med,36.1,Insecur,f,75,N,Y,yes,0,4,4
7842,3,6,2.02,Agriculture,unemp,4232,5079,5123,10202,5195,5320,Hgh,52.26,Moderate,Male,47,N,No,Yes,0,4,0
14652,2,4,1.37,Trading,unemp,876,1794,2170,3964,1362,9705,Medium,7.95,Moderate,M,63,Yes,yes,no,3,3,13
10138,1,2,1.23,Aid,unemp,1387,1959,2042,4001,2055,2404,Medium,11.9,Sec,f,31,Y,yes,Y,3,4,10
3327,3,10,2.52,agriculture,unemp,4919,6709,6255,12964,5537,1051,Medium,51.32,Moderate,FEMALE,37,yes,no,Y,1,1,5
1523,3,3,0.22,Aid,Self-Employed,5836,7053,6983,14036,7610,4290,High,58.75,Moderate,Male,36,Y,Y,Y,2,2,13
3082,4,4,0.87,agriculture,Self-Employed,5331,7225,6090,13315,5687,9138,Medium,71.11,Moderate,FEMALE,79,yes,no,No,1,3,14
1684,4,8,1.04,trading,unemp,7123KES,8258,8283,16541,7154,9017,Lw,68.87,Insecure,male,45,Yes,Yes,no,0,0,10
4962,4,5,1.67,Business,employd,9209,9989,9552,19541,9638,1881,Hgh,86.57,Sec,FEMALE,20,Y,Y,yes,0,3,7
10678,1,4,2.28,business,Employed,426KES,1519,"1,436",2955,276,9142,Low,0,Insecur,Male,18,Y,N,no,3,5,17
11970,1,4,1.48,Agriculture,employd,216,1195,536,1731,1910,5824,Med,0,Insecure,f,79,N,no,Y,1,3,6
16540,3,5,1.04,trading,Self-Employed,6096,7945,6521,14466,7271,839,Hgh,50.17,Sec,M,37,yes,No,Yes,0,1,2
745,2,5,1.67,Trading,Unemployed,4738,6223,5966,12189,5740,5729,Med,40.55,Mod,Femal,23,no,yes,yes,0,2,9
12589,3,4,1.59,agriculture,Self-Employed,3263,4058,4289,8347,3763,2670,Lw,22.27,Insecure,FEMALE,71,no,yes,no,1,2,13
10394,3,5,1.88,Trading,Unemployed,3378,5256,4714,9970,2970,1374,Lw,34.73,Insecur,Femal,50,No,Y,N,1,0,9
2813,3,9,0.73,business,Self-Employed,3461,4202,4038,8240,4396,8491,Med,25.02,Sec,Male,23,N,Y,Y,1,1,1
8940,2,7,0.05,agriculture,Self-Employed,3354,"5,152",4767,9919,4112,6350,High,18.02,Sec,Male,77,Y,Yes,N,4,1,5
11124,4,4,2.01,casual labor,employd,9784,11662,11196,22858,9873,9815,Hgh,84.12,Moderate,f,66,Y,Yes,no,2,1,7
8937,3,10,2.15,Aid,Employed,4846,"5,437","5,762",11199,4431,8820,Low,45.53,Mod,M,29,Yes,No,yes,1,2,5
666,3,6,1.95,Casual Labor,SelfEmployed,5127,5957,6412,12369,5983,9904,Lw,36.86,Mod,M,33,No,No,Y,1,1,0
2347,1,4,0.12,aid,Unemployed,2637,3888,3689,7577,3077,1579,Low,25.63,Insecur,f,40,No,Y,No,1,5,20
15663,2,3,1.13,aid,Employed,3642,5629,3990,9619,3970,2874,Hgh,32,Insecure,f,37,No,N,yes,1,3,9
3658,3,4,0.27,trading,SelfEmployed,6811,8257,7333,15590,8645,1256,Med,74.44,Sec,f,55,N,N,Y,0,3,8
13177,1,4,2.01,Agriculture,unemp,1730,3631,2538,6169,3256,9500,High,20.52,Insecure,male,72,Yes,N,Yes,1,5,3
12853,4,9,1.91,Casual Labor,Self-Employed,7812,8465,8838,17303,8525,8185,Hgh,72.84,Moderate,FEMALE,46,yes,no,N,0,2,20
13217,2,6,0.41,agriculture,Unemployed,4261,4937,4582,9519,3948,7618,Low,31.66,Mod,male,22,N,No,yes,0,1,18
15698,4,7,0.13,agriculture,Unemployed,"9,212",11087,9711,20798,9444,5704,Low,95.08,Secure,f,71,yes,Yes,Yes,0,1,4
12198,2,2,1.42,Trading,employd,2255,2882,2573,5455,3094,774,High,21.32,Sec,Femal,34,N,N,Y,1,1,8
10788,3,7,2.89,Agriculture,SelfEmployed,6538,7523,7361,14884,6876,6835,Low,58.37,Secure,FEMALE,34,No,no,Y,1,3,10
10054,2,3,0.98,Business,Employed,4524,5899,5762,11661,4550,6814,Lw,48.58,Insecure,FEMALE,26,No,No,Yes,1,0,15
12260,2,11,1.19,Casual Labor,SelfEmployed,2442,3619,3175,6794,2520,9553,Medium,40.22,Mod,M,80,N,N,Yes,1,1,5
15047,3,4,1.72,business,unemp,3748,5635,4151,9786,5142,9290,Medium,40.97,Insecur,male,74,Y,no,N,3,1,4
4600,1,9,2.17,Casual Labor,Self-Employed,1437,2873,2495,5368,3408,3587,Lw,8.46,Sec,f,21,No,no,yes,2,2,15
5154,2,7,1.68,agriculture,employd,4612,5320,5588,10908,4904,399,Hgh,50.26,Sec,Femal,31,Yes,Y,yes,1,3,19
9555,4,8,0.09,business,Self-Employed,9761,11171,10471,21642,10931,1155,Hgh,100,Moderate,M,55,N,yes,N,1,1,3
5937,3,6,1.88,casual labor,Unemployed,6280,7070,"7,049",14119,7084,9969,Lw,63.12,Insecure,Male,53,yes,yes,no,0,4,19
3617,3,4,2.92,Aid,employd,3523,4108,3993,8101,4290,8887,Lw,36.89,Sec,Male,21,Yes,Y,No,2,4,4
7270,4,4,2.67,trading,Employed,7305,7900,8524,16424,8775,7868,Med,75.06,Secure,Male,60,yes,yes,Yes,0,0,17
3968,1,6,0.29,agriculture,employd,1072,2620,2314,4934,1640,9938,Med,0,Mod,f,18,no,yes,no,0,2,8
10205,4,4,1.27,Trading,SelfEmployed,4907,6019,5475,11494,5539,13724,Medium,37.34,Insecure,Femal,29,Y,no,yes,1,1,1
5934,1,6,1.77,Aid,Unemployed,1233,2491,1817,4308,849,3559,Medium,15.83,Mod,FEMALE,35,Yes,yes,Yes,1,5,11
16775,4,5,2.89,Aid,employd,9555,10086,9961,20047,11493,310,High,100,Insecure,M,28,Yes,yes,N,0,2,15
11916,3,5,2.67,Business,unemp,5617,7226,6926,14152,7483,4476,Hgh,62.86,Secure,male,54,Y,no,Yes,0,3,5
9399,2,7,1.47,Agriculture,SelfEmployed,4635,5398,5123,10521,4148,2866,High,46.48,Secure,Femal,25,No,Y,yes,1,3,15
12285,2,8,0.09,Agriculture,Employed,2603,3594,3696,7290,4286,9806,High,23.04,Insecure,M,21,yes,N,Yes,1,6,2
2658,4,1,1.73,agriculture,Unemployed,5052KES,5737,5798,11535,6684,249,Med,42.53,Secure,FEMALE,71,no,Y,Yes,2,3,8
14576,3,6,2.8,Trading,unemp,3441,5279,3798,9077,4987,1790,High,52.11,Moderate,f,21,yes,Y,Yes,3,1,10
5405,4,3,1.32,business,Employed,6320,"7,988",7152,15140,5887,5328,Med,52.69,Mod,Male,47,yes,yes,Yes,1,1,6
3838,1,10,1.41,Trading,Self-Employed,2921,3822,3985,7807,2582,3412,Lw,23.33,Insecure,male,63,no,yes,No,0,3,18
17068,2,5,0.36,trading,unemp,891,1790,2266,4056,1155,2485,Hgh,11.72,Mod,f,31,no,Y,yes,3,2,15
12363,2,5,0.27,Agriculture,Unemployed,1836,3753,2773,6526,1355,7987,Lw,25.8,Insecur,M,24,Y,Yes,Yes,1,3,4
6579,3,3,1.69,business,Employed,5559,6435,6520,12955,5943,6022,Med,59.81,Sec,male,26,No,yes,Y,1,1,10
598,1,5,2.74,Agriculture,Unemployed,1968,3244,3235,6479,3640,2454,Lw,10.82,Mod,f,18,yes,Yes,no,1,1,6
529,2,8,0.22,Agriculture,Employed,726,1791,2030,3821,418,2725,Lw,0,Insecur,FEMALE,48,no,yes,N,0,1,17
11388,1,6,3,business,SelfEmployed,1883,"2,925",3379,6304,3170,1405,Low,21.29,Insecure,f,40,N,no,yes,2,4,17
14091,2,4,1.21,Business,employd,2724,3981,3146,7127,2713,9221,High,20.92,Moderate,Femal,46,N,Yes,N,1,2,0
16715,3,5,2.07,aid,Employed,6411,7024,7666,14690,7559,4203,Hgh,60.49,Mod,Femal,32,N,Yes,Y,1,3,8
15116,4,3,0.56,casual labor,Unemployed,7034,"8,345",7838,16183,8051,3449,High,76.97,Insecur,Femal,20,N,Yes,Y,1,2,13
11189,1,5,1.39,Agriculture,Unemployed,529,1114,883,1997,395,8524,High,20.69,Mod,f,60,N,Y,N,2,4,18
7083,4,7,1.44,Trading,SelfEmployed,7345,8571,8339,16910,7155,9203,Med,70.95,Insecure,male,70,yes,yes,No,2,3,17
13297,2,9,1.41,trading,Employed,3995,5344,4867,10211,5029,65,High,45.47,Moderate,Femal,44,Y,N,N,0,3,4
13782,2,8,0.66,trading,Employed,1269,2721,2138,4859,2505,435,Med,18.04,Secure,male,74,N,No,N,0,3,5
10458,1,3,1.63,Trading,unemp,940,1748,1821,3569,1988,9641,Med,7.1,Mod,Male,73,N,No,No,1,0,7
1325,2,3,1.82,trading,unemp,2.6k,4405,3974,8379,3895,4116,Low,47.51,Insecur,Male,76,No,No,no,0,1,20
5945,3,5,0.77,agriculture,unemp,3399,3990,4282,8272,3900,5321,Med,31.24,Insecure,Femal,22,yes,no,no,0,1,19
15162,3,6,2.56,business,employd,6680,7910,8072,15982,6355,1958,Hgh,66.1,Mod,M,59,Y,no,Yes,0,0,10
1437,2,7,2.95,Trading,Unemployed,2335,2849,3133,5982,3269,1925,High,28.14,Moderate,Male,27,yes,No,Yes,1,2,12
7285,1,6,0.75,Business,employd,233,1004,1650,2654,1052,1095,Hgh,3.91,Secure,Femal,64,yes,N,Y,0,1,9
14111,1,7,2.96,Trading,SelfEmployed,495KES,1121,1074,2195,2089,5768,Med,0.46,Moderate,male,48,No,Y,No,1,2,6
1917,1,5,1.48,Agriculture,Unemployed,3118,3916,3808,7724,2693,4201,Lw,34.94,Sec,male,25,Y,No,N,1,3,4
17237,2,2,1.66,casual labor,Unemployed,1393,"3,030",2429,5459,1537,3972,Med,20.28,Moderate,FEMALE,56,Yes,Yes,Y,0,1,9
17157,1,8,1.53,Business,employd,1152,2646,1798,4444,974,1642,Medium,16.19,Insecure,f,54,Y,Yes,N,2,1,6
1651,4,5,0.94,casual labor,SelfEmployed,5618,6511,6130,12641,5513,9834,High,48.48,Mod,Male,57,no,yes,N,0,4,2
9631,1,11,0.15,business,Employed,266KES,815,1427,2242,1816,8345,Med,21.62,Mod,male,28,no,Y,No,0,5,11
2643,3,8,2.94,casual labor,Unemployed,6045,7566,7016,14582,7761,4355,Lw,58.77,Insecur,f,43,no,yes,no,1,5,2
4016,3,8,0.23,Business,unemp,4555,5934,4863,10797,5307,8572,Med,53.79,Insecur,Femal,22,N,No,yes,3,4,6
9296,1,6,2.87,Business,employd,1341,2159,1997,4156,1290,2759,Lw,13.96,Insecure,FEMALE,63,N,No,No,0,1,8
3219,2,7,2.31,trading,employd,1125,1791,1497,3288,2511,6474,Lw,12.35,Secure,FEMALE,20,Yes,Y,no,0,2,10
1920,4,11,2.18,Aid,Self-Employed,"9,950",10628,10321,20949,11490,3565,High,100,Secure,Male,77,Y,Y,No,1,1,19
15770,4,3,2.24,Aid,unemp,6227,7297,6729,14026,6606,4727,Lw,66.67,Secure,FEMALE,39,no,no,Yes,4,1,13
5195,4,5,1.85,casual labor,employd,7583,8701,"8,120",16821,9480,9232,Lw,76.27,Moderate,FEMALE,39,Y,yes,yes,1,3,3
2305,3,4,2.66,Trading,employd,6135,6688,7468,14156,6022,7804,Med,70.94,Secure,M,48,Yes,Y,Yes,1,3,13
14569,3,4,1.25,agriculture,Self-Employed,4612,5629,5464,11093,4878,3963,High,58.07,Insecur,f,67,Yes,Y,Y,0,3,20
15680,4,3,0.56,Business,employd,9315,11083,10020,21103,10139,8529,Med,86.18,Moderate,male,28,no,no,Y,0,2,10
9179,1,6,1.67,trading,Unemployed,1623,2141,1988,4129,2614,6242,Low,13.66,Insecur,Femal,50,N,no,no,1,2,9
4046,1,3,2.45,aid,Self-Employed,0.3k,1661,1184,2845,682,1792,Hgh,0,Insecur,Femal,31,No,Y,Yes,3,2,2
14994,2,8,2.99,Aid,Unemployed,1559,3462,2289,5751,1428,548,Low,13.26,Mod,Male,29,Yes,Y,No,1,5,6
14367,3,7,2.99,trading,unemp,3976,5812,5041,10853,4558,5855,High,48.01,Insecur,M,65,Y,No,N,1,1,8
10110,3,3,1.24,trading,Unemployed,5058,6484,5559,12043,6473,3092,Low,49.47,Secure,male,66,Y,Yes,No,1,3,11
7617,4,7,0.63,Agriculture,Self-Employed,8359,9605,8836,18441,9188,8919,Med,86.48,Insecur,M,28,Y,yes,Y,1,1,17
3995,1,4,2.14,aid,SelfEmployed,1155,1734,1728,3462,3009,683,Lw,1.58,Insecur,FEMALE,43,yes,Yes,N,0,3,17
9009,2,7,2.72,business,unemp,848,2081,2316,4397,1688,8847,Low,14.82,Insecur,M,65,Yes,Yes,Yes,0,1,20
6631,3,7,0.34,aid,unemp,2970,3584,3443,7027,4268,9125,Lw,37.52,Moderate,f,48,yes,No,N,1,0,4
11953,4,4,0.01,business,Employed,5228,7160,6659,13819,6422,8134,Medium,51.23,Insecure,M,36,Y,no,no,0,0,11
16747,2,7,0.63,trading,employd,1237,2958,2354,5312,864,140,High,8.02,Insecur,Femal,57,yes,no,Y,1,3,4
6795,3,6,0.32,Trading,employd,5310,5942,5781,11723,5801,8793,High,42.16,Moderate,male,58,No,Y,Y,1,1,18
5718,4,6,0.11,casual labor,Self-Employed,5696,6371,6817,13188,7043,809,Medium,53.81,Insecur,Male,18,No,Y,no,2,1,15
1499,3,6,1.23,agriculture,Employed,5146,6219,6635,12854,5618,3570,Med,49.41,Secure,male,38,Yes,No,yes,2,3,13
1205,1,4,0.03,Business,employd,-69,1497,799,2296,1664,2303,Low,0,Secure,M,38,no,No,No,0,2,0
15225,4,7,1.35,Trading,employd,9525,10665,10471,21136,10928,8633,Low,92.04,Moderate,M,24,N,yes,Yes,0,0,11
4694,2,5,2.15,casual labor,employd,2849,3683,4139,7822,3324,6045,Med,34.57,Secure,male,22,yes,no,No,0,3,11
4812,1,5,0.55,Aid,Unemployed,0.7k,2106,1572,3678,360,1872,Med,22.28,Sec,Male,72,N,No,N,1,1,3
16354,3,7,2.35,Aid,employd,6122,7329,6536,13865,7691,3017,High,86.2,Sec,male,21,yes,N,yes,3,4,1
12740,4,11,0.24,Agriculture,Self-Employed,8929,10154,10021,20175,9363,3934,Hgh,88.75,Mod,Femal,48,Yes,yes,N,0,0,8
1317,4,8,0.34,Casual Labor,unemp,9182,10561,10464,21025,9895,2689,High,75.4,Secure,male,52,Y,N,yes,1,4,4
6197,1,4,1.01,Trading,Employed,1874,3322,3331,6653,2659,8510,Medium,31.29,Insecure,Femal,eighteen,N,yes,No,1,1,19
1557,4,8,1.18,Aid,SelfEmployed,"5,450",6189,6326,12515,5449,6547,Lw,64.87,Moderate,Male,20,Yes,Yes,Yes,2,2,9
13883,3,8,0.2,Business,SelfEmployed,2942KES,4469,4378,8847,3122,2136,Med,34.62,Sec,Male,46,no,no,No,0,1,15
